SigmaArcsec,RMSE_km,Rsigma_km,Isigma_km,Csigma_km,Converged
0.1,38442.5000392127,3.584005098345,0.399763401401164,0.246046936755783,1
0.1,38442.3521634024,3.58401963596096,0.399763941356616,0.246047436791411,1
0.1,38442.2633937095,3.58402809720756,0.399764137856496,0.246047724531392,1
0.1,38442.1187505039,3.58404256758659,0.399764785920417,0.246048225344887,1
0.1,38442.4130027292,3.58401360420052,0.399763694913823,0.246047228696648,1
0.1,38442.4238240469,3.58401254427184,0.399763657279837,0.246047192287899,1
0.1,38442.2703093509,3.58402763997756,0.399764219488504,0.246047711561589,1
0.1,38442.3145202477,3.58402321554513,0.39976402064107,0.246047558414164,1
0.1,38442.5010773702,3.58400497558649,0.399763387674725,0.246046932277106,1
0.1,38442.2804805506,3.58402659297369,0.399764159767588,0.246047674966469,1
0.1,38442.3212761719,3.58402260821772,0.399764023267183,0.246047538228701,1
0.1,38442.4318244505,3.5840117594581,0.399763628883903,0.246047165314488,1
0.1,38442.4587468544,3.58400914669685,0.399763546879097,0.24604707586635,1
0.1,38442.5018093664,3.58400489092807,0.399763378906125,0.246046929207876,1
0.1,38442.4262214788,3.58401241556717,0.399763699879269,0.246047189185528,1
0.1,38442.2034195546,3.58403436392049,0.399764534653979,0.246047944666697,1
0.1,38442.4570059698,3.58400931544773,0.399763552086849,0.246047081641068,1
0.1,38442.5580337752,3.583999351997,0.399763168011667,0.246046738546141,1
0.1,38442.4061346489,3.5840143266264,0.399763742660394,0.2460472541299,1
0.1,38442.3734155684,3.58401750823206,0.399763845320063,0.246047363130592,1
0.1,38442.3704420026,3.58401787020275,0.399763889605478,0.246047376443254,1
0.1,38442.3366422283,3.58402114115735,0.399763988089328,0.246047488307655,1
0.1,38442.3306428126,3.58402165420069,0.399763973145141,0.246047505003693,1
0.1,38442.362079575,3.58401868971386,0.399763918888767,0.246047404598839,1
0.1,38442.4463254478,3.58401045390475,0.399763633549987,0.246047121894787,1
0.1,38442.2699034272,3.58402767277358,0.399764217557436,0.246047712601625,1
0.1,38442.3414672383,3.58402070429394,0.399763988467478,0.246047473745564,1
0.1,38442.296854184,3.58402504436565,0.39976412932239,0.246047622457559,1
0.1,38442.3599133722,3.58401891544855,0.399763932929363,0.246047412521316,1
0.1,38442.3177250976,3.58402295246665,0.399764033897722,0.24604755000912,1
0.1,38442.4219464681,3.58401267887536,0.399763640143045,0.246047196298738,1
0.1,38442.4103427471,3.58401399697244,0.399763767637101,0.246047243831738,1
0.1,38442.1794819689,3.58403659793196,0.399764564743256,0.246048020028928,1
0.1,38442.3159047744,3.58402320046325,0.399764073683737,0.246047559394051,1
0.1,38442.3155624806,3.58402320880102,0.399764062782413,0.246047559367385,1
0.1,38442.4801861565,3.5840071085992,0.399763501990629,0.246047006625328,1
0.1,38442.3159293654,3.58402324611813,0.39976409666833,0.2460475615595,1
0.1,38442.4006985379,3.58401486387961,0.399763763867564,0.246047272644266,1
0.1,38442.4027359374,3.58401456907769,0.399763711065411,0.246047261334209,1
0.1,38442.270745608,3.58402757804043,0.399764208752299,0.246047709195342,1
0.1,38442.3151771245,3.58402328303136,0.399764081635697,0.246047562370628,1
0.1,38442.4298776717,3.58401194380922,0.399763632614987,0.246047171568296,1
0.1,38442.4863629261,3.5840064448304,0.399763452296554,0.246046983094248,1
0.1,38442.3527818357,3.5840196179058,0.399763959616352,0.246047436699668,1
