Sample,RMSE_km,Rsigma_km,Isigma_km,Csigma_km,Tsigma_km,Converged
1,41.4357363634778,5.17532846183851,0.56917533827759,0.35153471974402,5.21838690715864,1
2,42.155628774719,5.17534883182089,0.569177418678697,0.351534838217116,5.21840734395504,1
3,41.2875989668178,5.17525327351305,0.569176524741952,0.351529930025022,5.21831214599398,1
4,41.8676734116829,5.17532015306605,0.56918100011336,0.351533432836695,5.21837919779922,1
5,41.4445887696448,5.17527606382896,0.5691744351604,0.351530827556711,5.21833458080295,1
6,42.1348889045668,5.17536555504384,0.569178418179524,0.351535842462121,5.21842410585716,1
7,40.8706428760758,5.17523147622784,0.569171302493787,0.351528741964838,5.21828987893057,1
8,41.4823284929018,5.17528537632441,0.569174672555393,0.351531233829218,5.21834386971894,1
9,40.6105644832829,5.17522583815088,0.569172273631299,0.351529164963999,5.21828442179567,1
10,40.9109841816739,5.17523946242106,0.569173948333362,0.351529743040382,5.21829815525173,1
11,41.4519599178887,5.17528061827611,0.569176917030232,0.351531733720017,5.2183394294159,1
12,41.6028933717069,5.17528615735513,0.569180338571541,0.35153177111749,5.21834529850536,1
13,41.9653752011531,5.17533944788286,0.569179915664382,0.351534547097426,5.21839829018552,1
14,41.6982773098857,5.17533562412311,0.569175760817487,0.351534354546931,5.21839403183074,1
15,41.5815957654149,5.17528577874188,0.5691757420861,0.351531594087464,5.2183444097404,1
16,40.7869768096798,5.1752635248325,0.569173505910663,0.351531569336466,5.2183220938854,1
17,40.6364693065222,5.17524484094089,0.569171775214564,0.351530388336642,5.21830329583384,1
18,41.5440097322147,5.17530008507225,0.569176380463216,0.351532919143982,5.21835875691466,1
19,40.3644295853141,5.17519458551254,0.569169147971195,0.351527313024971,5.21825296135815,1
20,41.9729263605915,5.17536747573633,0.56918269027822,0.351537166053422,5.21842656582793,1
21,41.4674741315286,5.17529487270599,0.569176897941343,0.351532454438747,5.21835361269536,1
22,40.9762467713162,5.17528728143195,0.569173388455303,0.3515323182203,5.21834569209729,1
23,41.0157510605665,5.17529452470875,0.569172295601876,0.351533040146298,5.21835280504065,1
24,41.3310388184166,5.17527052325491,0.569174108544125,0.351531036004192,5.21832906436364,1
25,41.1918669541301,5.17526562803854,0.569172943441477,0.351530254879165,5.21832402983931,1
26,42.4056284749719,5.17537455042614,0.569179056078735,0.351536119800506,5.21843311527528,1
27,41.2937305669316,5.17525874198297,0.569175191303169,0.351529884192401,5.21831742081167,1
28,40.6400498785186,5.17522126606699,0.569173564318194,0.351528982679821,5.21828001593769,1
29,41.385026980513,5.1752699875008,0.569174280455021,0.351530677408269,5.21832852762426,1
30,41.0941205066378,5.17524900410317,0.569174230903026,0.351529866375452,5.21830765732999,1
31,40.6948124359909,5.17523293444461,0.569173816526479,0.351529816135229,5.21829167168831,1
32,41.4704467506465,5.17525841633308,0.569176306315177,0.351530204069574,5.21831724101459,1
33,40.6401959937259,5.17522928706242,0.569172666971925,0.351529185318176,5.21828788652246,1
34,40.6698620503339,5.1752328046908,0.569172705617685,0.3515296234342,5.21829140885402,1
35,40.6720384334088,5.17519484973891,0.569173679749391,0.351527203653465,5.21825371033184,1
36,41.0193734646173,5.17526230765925,0.569173683307297,0.351530827403901,5.21832085612445,1
37,42.0937574671841,5.1753562790646,0.5691810808015,0.351535858802009,5.21841519793312,1
38,41.032310059086,5.17529002313032,0.569172342454476,0.351532514999255,5.21834831034007,1
39,40.5345984537357,5.17520260321291,0.56917210746061,0.35152749060977,5.21826124766356,1
40,41.936604263913,5.17535050835652,0.569179056540876,0.351535481663003,5.21840922864611,1
41,40.9269302721853,5.17523971598084,0.569172174210066,0.351529800683419,5.21829821709425,1
42,41.070495086824,5.17526306955683,0.569176823198788,0.351531047694072,5.21832196905082,1
43,42.1093766760333,5.17531647897208,0.569177105207021,0.351532870354346,5.2183750913049,1
44,41.8978228442888,5.17532619999266,0.569179055085802,0.351533555303922,5.21838499093191,1
45,42.1967133264679,5.17534619426679,0.569179590232724,0.351534578947696,5.21840494755296,1
46,42.537617130106,5.17537913770537,0.56918215829538,0.351536415741327,5.21843802300171,1
