CombID,Idx1,Idx2,Idx3,TripleProduct,MeanDis_km,Converged
1,8,9,10,8.33078584509635e-06,0,0
2,8,9,11,0.000230685098692215,41.3111512661812,1
3,8,9,12,0.00023101815698704,41.3111512660996,1
4,8,9,13,0.000231507550427956,41.3111512664111,1
5,8,9,14,0.000231955147755191,0,0
6,8,9,15,0.000318181300916185,41.3111512664111,1
7,8,9,16,0.000317787239992977,41.3111512664111,1
8,8,9,17,0.000317518653549521,41.3111512664111,1
9,8,9,18,0.000317158392957952,41.3111512660646,1
10,8,9,19,0.00488971162435957,41.311151266017,1
11,8,9,20,0.0049205133488188,0,0
12,8,9,21,0.0049490774953484,0,0
13,8,9,22,0.00497493879996935,0,0
14,8,9,23,0.00512353942631439,0,0
15,8,9,24,0.00511888557859445,0,0
16,8,9,25,0.00511232555541803,0,0
17,8,9,26,0.00510276457277685,0,0
18,8,9,27,0.00767690013130259,0,0
19,8,9,28,0.00768233961198795,0,0
20,8,9,29,0.00768748064573297,0,0
21,8,9,30,0.00769241768195984,0,0
22,8,9,31,0.00769706577926473,0,0
23,8,9,32,0.00770144861814161,0,0
24,8,9,33,0.00770585535092069,0,0
25,8,9,34,0.00705015480189886,0,0
26,8,9,35,0.0070409210651996,0,0
27,8,9,36,0.00703082476797285,0,0
28,8,9,37,0.00702067260513625,0,0
29,8,9,38,0.0070105245631915,0,0
30,8,9,39,0.00700034037502755,0,0
31,8,9,40,0.0069911297414697,0,0
32,8,10,11,0.000237881242784135,41.3111512658302,1
33,8,10,12,0.00023821737578305,41.3111512663371,1
34,8,10,13,0.000238719659715113,41.311151266498,1
35,8,10,14,0.000239177903496229,41.3111512661061,1
36,8,10,15,0.000318688118775396,41.3111512661061,1
37,8,10,16,0.000318253008271035,41.3111512661061,1
38,8,10,17,0.000317952325627551,41.3111512661061,1
39,8,10,18,0.000317554184738158,41.3111512661061,1
40,8,10,19,0.00519122169686755,41.311151265876,1
41,8,10,20,0.00522424508302013,41.3111512650729,1
42,8,10,21,0.00525491243432476,41.3111512664417,1
43,8,10,22,0.00528273027952517,41.3111512660858,1
44,8,10,23,0.00544775643550236,0,0
45,8,10,24,0.00544354633840484,0,0
46,8,10,25,0.0054373010486899,0,0
47,8,10,26,0.00542797319066509,0,0
48,8,10,27,0.00828611692135983,676.54434361097,1
49,8,10,28,0.00829222817103753,676.544343613498,1
50,8,10,29,0.00829802771028278,676.544343611403,1
51,8,10,30,0.00830361194750661,676.544343601924,1
52,8,10,31,0.00830889240140561,676.544343608105,1
53,8,10,32,0.00831390365647162,676.544343606077,1
54,8,10,33,0.00831897510617102,676.544343608079,1
55,8,10,34,0.00761579227961386,41.3111512660972,1
56,8,10,35,0.00760596265322094,41.3111512661629,1
57,8,10,36,0.00759521456393295,41.3111512662573,1
58,8,10,37,0.00758440850968314,41.3111512662928,1
59,8,10,38,0.0075736066933539,41.311151266174,1
60,8,10,39,0.00756276604820154,41.311151266128,1
61,8,10,40,0.00755296210554181,41.3111512662957,1
62,8,11,12,2.02555568653824e-07,0,0
63,8,11,13,2.68347860789647e-07,0,0
64,8,11,14,3.60175524108948e-07,0,0
65,8,11,15,0.000260811308954174,41.3111512663607,1
66,8,11,16,0.000261607609281461,41.3111512663397,1
67,8,11,17,0.000262264369450871,41.3111512663546,1
68,8,11,18,0.000263002106949927,41.3111512663339,1
69,8,11,19,0.00412527846176732,41.3111512661078,1
70,8,11,20,0.00416019120648452,41.3111512660892,1
71,8,11,21,0.00419375662180161,41.311151266018,1
72,8,11,22,0.00422559552477428,41.3111512660855,1
73,8,11,23,0.00455206813558307,41.3111512663399,1
74,8,11,24,0.00456837589062905,41.311151266386,1
75,8,11,25,0.00458275763010445,41.3111512660976,1
76,8,11,26,0.00459747179827035,41.3111512658716,1
77,8,11,27,0.010238308534288,41.3111512664161,1
78,8,11,28,0.0102522116415882,41.3111512662802,1
