CombID,Idx1,Idx2,Idx3,TripleProduct,MeanDis_km,Converged
1,1,2,3,4.59164547201809e-08,0,0
2,1,2,4,6.5290224003894e-09,0,0
3,1,2,5,1.02649669311546e-06,0,0
4,1,2,6,1.03221476436654e-06,0,0
5,1,2,7,1.04128162879929e-06,0,0
6,1,2,8,1.04962948569147e-06,0,0
7,1,2,9,2.22539421417538e-05,41.311151266322,1
8,1,2,10,2.31043164456149e-05,41.3111512651716,1
9,1,2,11,6.28317537052251e-06,0,0
10,1,2,12,6.30934801187574e-06,0,0
11,1,2,13,6.32649618678574e-06,0,0
12,1,2,14,6.34508933332507e-06,0,0
13,1,2,15,3.22376691430769e-05,41.3111512659957,1
14,1,2,16,3.23019153691097e-05,41.3111512660635,1
15,1,2,17,3.23561823871148e-05,41.3111512662601,1
16,1,2,18,3.24158129520018e-05,41.3111512662715,1
17,1,2,19,0.000269305093665318,41.3111512660126,1
18,1,2,20,0.000271815456244724,41.3111512660955,1
19,1,2,21,0.000274252741616186,41.3111512663444,1
20,1,2,22,0.000276592651375775,41.3111512664247,1
21,1,2,23,0.000303230556573858,41.3111512663287,1
22,1,2,24,0.000304835077708333,41.3111512661971,1
23,1,2,25,0.000306305792045145,41.3111512660586,1
24,1,2,26,0.000307875116184072,41.3111512660109,1
25,1,2,27,0.000767596370655897,41.3111512667077,1
26,1,2,28,0.000768748352349184,41.3111512668908,1
27,1,2,29,0.000769896985493568,41.3111512669179,1
28,1,2,30,0.000771037643047902,41.3111512668914,1
29,1,2,31,0.000772169972743555,41.3111512670273,1
30,1,2,32,0.000773319236001942,41.3111512669021,1
31,1,2,33,0.000774558159354885,41.3111512669827,1
32,1,2,34,0.00071933023918043,41.3111512662675,1
33,1,2,35,0.00071875595333222,41.3111512663837,1
34,1,2,36,0.000718127414028449,41.3111512664307,1
35,1,2,37,0.000717499244121213,41.3111512664857,1
36,1,2,38,0.000716870950588512,41.3111512664819,1
37,1,2,39,0.000716239515908039,41.3111512663748,1
38,1,2,40,0.000715669449040078,41.3111512661308,1
39,1,3,4,1.24458050606614e-07,0,0
40,1,3,5,2.666553074722e-06,0,0
41,1,3,6,2.68006613642633e-06,0,0
42,1,3,7,2.70024616899438e-06,0,0
43,1,3,8,2.71925243921459e-06,0,0
44,1,3,9,4.57816678119472e-05,41.311151266218,1
45,1,3,10,4.75266003515168e-05,41.3111512659831,1
46,1,3,11,1.38465117836351e-05,0,0
47,1,3,12,1.39003830174861e-05,0,0
48,1,3,13,1.39362650434733e-05,0,0
49,1,3,14,1.39749912230099e-05,0,0
50,1,3,15,6.67426963260088e-05,41.3111512663923,1
51,1,3,16,6.68723127123603e-05,41.3111512663055,1
52,1,3,17,6.69819346002997e-05,41.3111512663719,1
53,1,3,18,6.71022507381007e-05,41.311151266246,1
54,1,3,19,0.000536926899277453,41.3111512662096,1
55,1,3,20,0.000541958436125194,41.3111512661974,1
56,1,3,21,0.000546846405806498,41.3111512661182,1
57,1,3,22,0.000551542468477717,41.3111512661145,1
58,1,3,23,0.000605318406465792,41.31115126631,1
59,1,3,24,0.000608586955089821,41.3111512662768,1
60,1,3,25,0.000611587877741345,41.3111512661386,1
61,1,3,26,0.000614795532862956,41.3111512661105,1
62,1,3,27,0.00154263458238261,41.3111512663087,1
