"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,05/21/2022 17:47:24,"ZHR-LAPTOP","haozh","STK EOIR is licensed, but a valid install was not found.  Install EOIR."
3,"Default",0,"AgStkInitObj.cpp",1894,05/21/2022 17:47:24,"ZHR-LAPTOP","haozh","STK Space Environment and Effects Tool is licensed, but a valid install was not found.  Install or Update STK SEET to match the STK version 12.4.0."
1,"MsgWnd",0,"",0,05/21/2022 17:47:28,"ZHR-LAPTOP","haozh","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2017b\bin\win64."
2,"Default",0,"AgApRmtMsg.cpp",1336,05/21/2022 17:47:28,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,05/21/2022 17:47:28,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,05/21/2022 17:47:31,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,05/21/2022 17:47:31,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,05/21/2022 17:48:09,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,05/21/2022 17:48:09,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
1,"Default",0,"AgScriptManager.cpp",530,05/21/2022 18:18:25,"ZHR-LAPTOP","haozh","Loaded initialization script file C:\Program Files\AGI\STK 12\STKData\Scripting/Init/AgCallFunctionOneArgReturnOne.vbs"
1,"Default",0,"AgScriptManager.cpp",530,05/21/2022 18:18:25,"ZHR-LAPTOP","haozh","Loaded initialization script file C:\Program Files\AGI\STK 12\STKData\Scripting/Init/FunctionInterface.vbs"
3,"MsgWnd",0,"",0,05/21/2022 23:41:03,"ZHR-LAPTOP","haozh","Component Manager: Non-unique component name changed from ""Range"" to ""Range1""."
4,"Default",0,"AgApRmtMsg.cpp",8564,05/21/2022 23:41:16,"ZHR-LAPTOP","haozh","Satellite is not on the VBar - ensure current posiition is on the VBar first"
4,"Default",0,"AgApRmtMsg.cpp",8564,05/21/2022 23:41:16,"ZHR-LAPTOP","haozh","Current relative velocity is too high - ensure the relative motion is less than 1 cm/sec"
4,"Default",0,"AgApRmtMsg.cpp",8564,05/21/2022 23:43:28,"ZHR-LAPTOP","haozh","Satellite is not on the VBar - ensure current posiition is on the VBar first"
4,"Default",0,"AgApRmtMsg.cpp",8564,05/21/2022 23:43:28,"ZHR-LAPTOP","haozh","Current relative velocity is too high - ensure the relative motion is less than 1 cm/sec"
4,"Default",0,"AgApRmtMsg.cpp",8564,05/21/2022 23:45:05,"ZHR-LAPTOP","haozh","Satellite is not on the VBar - ensure current posiition is on the VBar first"
4,"Default",0,"AgApRmtMsg.cpp",8564,05/21/2022 23:45:05,"ZHR-LAPTOP","haozh","Current relative velocity is too high - ensure the relative motion is less than 1 cm/sec"
3,"Default",0,"AgShooterDiffCorr.cpp",4011,05/22/2022 00:05:25,"ZHR-LAPTOP","haozh","Changing controls by perturbation does not affect constraints in differential corrector profile DC2_Rel_X&Y_Rates."
3,"Default",0,"AgShooterDiffCorr.cpp",4011,05/22/2022 00:06:34,"ZHR-LAPTOP","haozh","Changing controls by perturbation does not affect constraints in differential corrector profile DC2_Rel_X&Y_Rates."
