"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,11/16/2022 17:03:40,"ZHR-LAPTOP","haozh","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2021b\bin\win64."
2,"Default",0,"AgApRmtMsg.cpp",1336,11/16/2022 17:03:40,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,11/16/2022 17:03:40,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,11/16/2022 17:03:42,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,11/16/2022 17:03:43,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,11/16/2022 17:04:41,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,11/16/2022 17:04:41,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgScen.cpp",916,11/16/2022 17:04:51,"ZHR-LAPTOP","haozh","Scenario Load: This Scenario was written by an older version of STK."
3,"MsgWnd",0,"AgScen.cpp",918,11/16/2022 17:04:51,"ZHR-LAPTOP","haozh","Scenario Load: If saved, the Scenario may be unreadable by older versions of STK."
4,"Default",0,"AgVeExtPrp.cpp",218,11/16/2022 17:05:38,"ZHR-LAPTOP","haozh","Vehicle Sat_0: Cannot open external ephemeris file D:\OneDrive\CSU\研究课题\2021-2022 DRO卫星项目\北京中心交互\轨道数据\dro_2023_10_04_01_43_54_UTCG_dw_0_Ephemeris.e"
4,"MsgWnd",0,"",3438,11/16/2022 17:08:07,"ZHR-LAPTOP","haozh","Error Error: 00000006 AgAsConvElm.cpp: 3438"
4,"MsgWnd",0,"",3438,11/16/2022 17:08:07,"ZHR-LAPTOP","haozh","Error Error: 00000006 AgAsConvElm.cpp: 3438"
4,"MsgWnd",0,"",3438,11/16/2022 17:08:07,"ZHR-LAPTOP","haozh","Error Error: 00000006 AgAsConvElm.cpp: 3438"
1,"Default",0,"AgUiIvDefnI.cpp",1967,11/16/2022 17:47:44,"ZHR-LAPTOP","haozh","Nothing to compute for Satellite/A."
1,"Default",0,"AgUiIvDefnI.cpp",1967,11/16/2022 17:47:48,"ZHR-LAPTOP","haozh","Nothing to compute for Satellite/A."
1,"Default",0,"AgUiIvDefnI.cpp",1967,11/16/2022 17:55:40,"ZHR-LAPTOP","haozh","Nothing to compute for Satellite/A."
1,"Default",0,"AgUiIvDefnI.cpp",1967,11/16/2022 17:56:35,"ZHR-LAPTOP","haozh","Nothing to compute for Satellite/A."
1,"Default",0,"AgUiIvDefnI.cpp",1967,11/16/2022 17:56:39,"ZHR-LAPTOP","haozh","Nothing to compute for Satellite/A."
3,"Default",0,"AgGx3dTerrainRenderUser.cpp",911,11/16/2022 22:21:29,"ZHR-LAPTOP","haozh","AGI terrain server enabled for visualization but online options are off.  Terrain will not be displayed."
3,"Default",0,"AgGx3dTerrainTextureRenderUser.cpp",1888,11/16/2022 22:21:29,"ZHR-LAPTOP","haozh","Online access is disabled, Bing maps will be unavailable."
