"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,08/05/2022 07:20:35,"ZHR-LAPTOP","haozh","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2021b\bin\win64."
2,"Default",0,"AgApRmtMsg.cpp",1336,08/05/2022 07:20:35,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,08/05/2022 07:20:35,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,08/05/2022 07:20:39,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,08/05/2022 07:20:40,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,08/05/2022 07:22:14,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,08/05/2022 07:22:14,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgScen.cpp",916,08/05/2022 07:22:30,"ZHR-LAPTOP","haozh","Scenario Load: This Scenario was written by an older version of STK."
3,"MsgWnd",0,"AgScen.cpp",918,08/05/2022 07:22:30,"ZHR-LAPTOP","haozh","Scenario Load: If saved, the Scenario may be unreadable by older versions of STK."
4,"Default",0,"AgVeExtPrp.cpp",218,08/05/2022 07:23:36,"ZHR-LAPTOP","haozh","Vehicle Satellite1: Cannot open external ephemeris file D:\OneDrive\Files\matlab\csu\droProject\[20220111]_cislunarTrajViaWSB_V4\analysis\JPL_Horizons\KPLO_22216_Ephemeris.e"
4,"MsgWnd",0,"",81,08/05/2022 07:39:45,"ZHR-LAPTOP","haozh","Error Error: 00011000 AgRptLoad.cpp: 81"
