"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"MsgWnd",0,"",0,09/13/2023 09:22:18,"ZHR-LAPTOP","haozh","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1336,09/13/2023 09:22:20,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,09/13/2023 09:22:20,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,09/13/2023 09:22:27,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,09/13/2023 09:22:28,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,09/13/2023 09:22:34,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,09/13/2023 09:22:34,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
4,"MsgWnd",0,"",0,09/13/2023 09:24:31,"ZHR-LAPTOP","haozh","Empty Inline expression specification in calculation object not allowed."
4,"MsgWnd",0,"",0,09/13/2023 09:24:31,"ZHR-LAPTOP","haozh","Empty Inline expression specification in calculation object not allowed."
1,"Default",0,"AgScriptManager.cpp",530,09/13/2023 09:24:31,"ZHR-LAPTOP","haozh","Loaded initialization script file C:\Program Files\AGI\STK 12\STKData\Scripting/Init/AgCallFunctionOneArgReturnOne.vbs"
1,"Default",0,"AgScriptManager.cpp",530,09/13/2023 09:24:31,"ZHR-LAPTOP","haozh","Loaded initialization script file C:\Program Files\AGI\STK 12\STKData\Scripting/Init/FunctionInterface.vbs"
4,"MsgWnd",0,"",0,09/13/2023 09:24:31,"ZHR-LAPTOP","haozh","Empty Inline expression specification in calculation object not allowed."
4,"MsgWnd",0,"",0,09/13/2023 09:24:31,"ZHR-LAPTOP","haozh","Empty Inline expression specification in calculation object not allowed."
3,"MsgWnd",0,"",0,09/13/2023 09:24:52,"ZHR-LAPTOP","haozh","Component Manager: Non-unique component name changed from ""RaanTEMED"" to ""RaanTEMED4""."
3,"MsgWnd",0,"",0,09/13/2023 09:24:52,"ZHR-LAPTOP","haozh","Component Manager: Non-unique component name changed from ""alphaG"" to ""alphaG44""."
3,"MsgWnd",0,"",0,09/13/2023 09:24:52,"ZHR-LAPTOP","haozh","Component Manager: Non-unique component name changed from ""ECEFY"" to ""ECEFY44""."
4,"MsgWnd",0,"",81,09/13/2023 09:53:11,"ZHR-LAPTOP","haozh","Error Error: 00011000 AgRptLoad.cpp: 81"
