"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,06/19/2022 13:22:07,"ZHR-LAPTOP","haozh","STK EOIR is licensed, but a valid install was not found.  Install EOIR."
1,"MsgWnd",0,"",0,06/19/2022 13:22:09,"ZHR-LAPTOP","haozh","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2021b\bin\win64."
2,"Default",0,"AgApRmtMsg.cpp",1336,06/19/2022 13:22:09,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
4,"MsgWnd",14008,"AgApRmtMsg.cpp",4341,06/19/2022 13:22:09,"ZHR-LAPTOP","haozh","STK/CON: Error binding to socket, Port 5001 address in use"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,06/19/2022 13:22:10,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,06/19/2022 13:22:10,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,06/19/2022 13:22:12,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,06/19/2022 13:22:12,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgScen.cpp",916,06/19/2022 13:22:17,"ZHR-LAPTOP","haozh","Scenario Load: This Scenario was written by an older version of STK."
3,"MsgWnd",0,"AgScen.cpp",918,06/19/2022 13:22:17,"ZHR-LAPTOP","haozh","Scenario Load: If saved, the Scenario may be unreadable by older versions of STK."
3,"MsgWnd",0,"",0,06/19/2022 13:22:22,"ZHR-LAPTOP","haozh","Loading saved access information into Chain/KTY_DRO from a previous version. To ensure computational consistency with the current version, you may wish to recompute the accesses."
3,"MsgWnd",0,"",0,06/19/2022 13:22:22,"ZHR-LAPTOP","haozh","Loading saved access information into Chain/VLBI_DRO from a previous version. To ensure computational consistency with the current version, you may wish to recompute the accesses."
3,"Default",0,"AgVeLoad.cpp",4922,06/19/2022 13:22:25,"ZHR-LAPTOP","haozh","Satellite droRef contains no ephemeris.  The propagator is set to Astrogator so the ephemeris will not be auto-generated."
