"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"MsgWnd",0,"",0,01/16/2023 23:44:30,"ZHR-LAPTOP","haozh","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1336,01/16/2023 23:44:31,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
4,"MsgWnd",14008,"AgApRmtMsg.cpp",4341,01/16/2023 23:44:31,"ZHR-LAPTOP","haozh","STK/CON: Error binding to socket, Port 5001 address in use"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,01/16/2023 23:44:34,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,01/16/2023 23:44:34,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,01/16/2023 23:44:35,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,01/16/2023 23:44:35,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"Default",0,"AgGxMapWin.cpp",5727,01/16/2023 23:44:48,"ZHR-LAPTOP","haozh","Online access is disabled, Bing maps unavailable.  Default texture will be used for 2d map style DefaultWithBing."
