"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"MsgWnd",0,"",0,02/05/2024 17:41:16,"ZHR-LAPTOP","haozh","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1336,02/05/2024 17:41:16,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
4,"MsgWnd",14008,"AgApRmtMsg.cpp",4341,02/05/2024 17:41:16,"ZHR-LAPTOP","haozh","STK/CON: Error binding to socket, Port 5001 address in use"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,02/05/2024 17:41:18,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,02/05/2024 17:41:18,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,02/05/2024 17:41:38,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,02/05/2024 17:41:38,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
4,"MsgWnd",0,"",0,02/05/2024 17:50:39,"ZHR-LAPTOP","haozh","SGP4 propagation error: GP data for SSC 0 uses EphemerisType 4. This value indicates that SGP4-XP should be used for propagation, not SGP4."
4,"MsgWnd",0,"",0,02/05/2024 17:50:39,"ZHR-LAPTOP","haozh","SGP4-XP is only supported using the AFSPC SGP4 propagator (available from customer support); AGI does not support it natively."
2,"MsgWnd",0,"AgCaCloseApp.cpp",1836,02/05/2024 18:15:23,"ZHR-LAPTOP","haozh","  Close Approach initial Satellite Database search undertaken-   "
2,"MsgWnd",0,"AgCaCloseApp.cpp",1836,02/05/2024 18:15:49,"ZHR-LAPTOP","haozh","  Close Approach initial Satellite Database search undertaken-   "
3,"Default",0,"AgGx3dTerrainRenderUser.cpp",911,02/05/2024 18:23:01,"ZHR-LAPTOP","haozh","AGI terrain server enabled for visualization but online options are off.  Terrain will not be displayed."
3,"Default",0,"AgGx3dTerrainTextureRenderUser.cpp",1888,02/05/2024 18:23:01,"ZHR-LAPTOP","haozh","Online access is disabled, Bing maps will be unavailable."
2,"MsgWnd",0,"AgCaCloseApp.cpp",1836,02/05/2024 18:26:50,"ZHR-LAPTOP","haozh","  Close Approach initial Satellite Database search undertaken-   "
3,"MsgWnd",0,"",0,02/05/2024 18:36:10,"ZHR-LAPTOP","haozh","  Beginning AdvCAT computation of AdvCAT1.  Current local time: 5 Feb 2024 18:36:10.883  "
4,"MsgWnd",0,"",0,02/05/2024 18:36:11,"ZHR-LAPTOP","haozh","Error computing AdvCAT1.  No primary vehicles have been chosen. "
