"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,05/25/2022 20:44:31,"ZHR-LAPTOP","haozh","STK EOIR is licensed, but a valid install was not found.  Install EOIR."
3,"Default",0,"AgStkInitObj.cpp",1894,05/25/2022 20:44:31,"ZHR-LAPTOP","haozh","STK Space Environment and Effects Tool is licensed, but a valid install was not found.  Install or Update STK SEET to match the STK version 12.4.0."
1,"MsgWnd",0,"",0,05/25/2022 20:44:33,"ZHR-LAPTOP","haozh","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2017b\bin\win64."
2,"Default",0,"AgApRmtMsg.cpp",1336,05/25/2022 20:44:33,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
4,"MsgWnd",14008,"AgApRmtMsg.cpp",4341,05/25/2022 20:44:33,"ZHR-LAPTOP","haozh","STK/CON: Error binding to socket, Port 5001 address in use"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,05/25/2022 20:44:33,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,05/25/2022 20:44:34,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,05/25/2022 20:44:35,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,05/25/2022 20:44:35,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgScen.cpp",916,05/25/2022 20:44:39,"ZHR-LAPTOP","haozh","Scenario Load: This Scenario was written by an older version of STK."
3,"MsgWnd",0,"AgScen.cpp",918,05/25/2022 20:44:39,"ZHR-LAPTOP","haozh","Scenario Load: If saved, the Scenario may be unreadable by older versions of STK."
3,"MsgWnd",0,"",0,05/25/2022 20:44:41,"ZHR-LAPTOP","haozh","Loading saved access information into Chain/KTY_DRO from a previous version. To ensure computational consistency with the current version, you may wish to recompute the accesses."
3,"MsgWnd",0,"",0,05/25/2022 20:44:41,"ZHR-LAPTOP","haozh","Loading saved access information into Chain/VLBI_DRO from a previous version. To ensure computational consistency with the current version, you may wish to recompute the accesses."
3,"Default",0,"AgVeLoad.cpp",4922,05/25/2022 20:44:46,"ZHR-LAPTOP","haozh","Satellite droRef contains no ephemeris.  The propagator is set to Astrogator so the ephemeris will not be auto-generated."
3,"Default",0,"AgGx3dTerrainRenderUser.cpp",911,05/25/2022 20:48:03,"ZHR-LAPTOP","haozh","AGI terrain server enabled for visualization but online options are off.  Terrain will not be displayed."
3,"Default",0,"AgGx3dTerrainTextureRenderUser.cpp",1888,05/25/2022 20:48:03,"ZHR-LAPTOP","haozh","Online access is disabled, Bing maps will be unavailable."
