"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"MsgWnd",0,"",0,01/04/2023 08:50:33,"ZHR-LAPTOP","haozh","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1336,01/04/2023 08:50:33,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,01/04/2023 08:50:33,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,01/04/2023 08:50:37,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,01/04/2023 08:50:38,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,01/04/2023 08:50:48,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,01/04/2023 08:50:48,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,01/04/2023 08:54:20,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,01/04/2023 08:54:20,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Propagate segment Collision occurred: 11 Jan 2023 04:47:48.862"
4,"MsgWnd",0,"",81,01/04/2023 09:15:27,"ZHR-LAPTOP","haozh","Error Error: 00011000 AgRptLoad.cpp: 81"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,01/04/2023 09:28:42,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,01/04/2023 09:28:42,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.PropP segment Collision occurred: 28 Dec 2023 03:00:59.319"
3,"Default",-1,"",0,01/04/2023 09:28:42,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.Prop2A1 segment Collision occurred: 28 Dec 2023 03:07:01.877"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,01/04/2023 09:28:42,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,01/04/2023 09:28:42,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,01/04/2023 09:28:42,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.PropP1 segment Collision occurred: 28 Dec 2023 07:59:02.845"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,01/04/2023 09:29:19,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
3,"Default",-1,"",0,01/04/2023 09:29:19,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.PropP segment Collision occurred: 28 Dec 2023 03:00:59.319"
3,"Default",-1,"",0,01/04/2023 09:29:19,"ZHR-LAPTOP","haozh","Satellite trajectory intersects with Earth during Target_Sequence.Prop2A1 segment Collision occurred: 28 Dec 2023 03:07:01.877"
3,"MsgWnd",0,"AgVarStepIntegrator.cpp",341,01/04/2023 09:29:19,"ZHR-LAPTOP","haozh","Warning: Minimum step size reached in integrator, integration errors may be above tolerance."
