"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
1,"MsgWnd",0,"",0,06/13/2022 09:10:44,"ZHR-LAPTOP","haozh","STK EOIR is licensed, but a valid install was not found.  Install EOIR."
1,"MsgWnd",0,"",0,06/13/2022 09:10:48,"ZHR-LAPTOP","haozh","STK MATLAB Interface:  Loaded API at C:\Program Files\MATLAB\R2021b\bin\win64."
2,"Default",0,"AgApRmtMsg.cpp",1336,06/13/2022 09:10:48,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,06/13/2022 09:10:48,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,06/13/2022 09:10:50,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,06/13/2022 09:10:51,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,06/13/2022 09:10:54,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,06/13/2022 09:10:54,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgScen.cpp",916,06/13/2022 09:11:02,"ZHR-LAPTOP","haozh","Scenario Load: This Scenario was written by an older version of STK."
3,"MsgWnd",0,"AgScen.cpp",918,06/13/2022 09:11:02,"ZHR-LAPTOP","haozh","Scenario Load: If saved, the Scenario may be unreadable by older versions of STK."
3,"MsgWnd",0,"",0,06/13/2022 09:11:08,"ZHR-LAPTOP","haozh","Loading saved access information into Chain/KTY_DRO from a previous version. To ensure computational consistency with the current version, you may wish to recompute the accesses."
3,"MsgWnd",0,"",0,06/13/2022 09:11:08,"ZHR-LAPTOP","haozh","Loading saved access information into Chain/VLBI_DRO from a previous version. To ensure computational consistency with the current version, you may wish to recompute the accesses."
3,"Default",0,"AgGxMapWin.cpp",5727,06/13/2022 09:11:12,"ZHR-LAPTOP","haozh","Online access is disabled, Bing maps unavailable.  Default texture will be used for 2d map style DefaultWithBing."
