"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"MsgWnd",0,"",0,02/08/2023 10:18:33,"ZHR-LAPTOP","haozh","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1336,02/08/2023 10:18:34,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,02/08/2023 10:18:34,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,02/08/2023 10:18:38,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,02/08/2023 10:18:39,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,02/08/2023 10:18:51,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,02/08/2023 10:18:51,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgScen.cpp",916,02/08/2023 10:18:58,"ZHR-LAPTOP","haozh","Scenario Load: This Scenario was written by an older version of STK."
3,"MsgWnd",0,"AgScen.cpp",918,02/08/2023 10:18:58,"ZHR-LAPTOP","haozh","Scenario Load: If saved, the Scenario may be unreadable by older versions of STK."
4,"Default",0,"AgVeExtPrp.cpp",218,02/08/2023 10:19:17,"ZHR-LAPTOP","haozh","Vehicle satEph240114: Cannot open external ephemeris file D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\dro_2024_01_14_18_54_26_UTCG_w_148.5_nominal__Ephemeris.e"
4,"Default",0,"AgVeExtPrp.cpp",218,02/08/2023 10:19:17,"ZHR-LAPTOP","haozh","Vehicle satEph240114_rnd_1: Cannot open external ephemeris file D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_294134.2_I_28.2_W_2.68_w_142.5_dv_245.6_.e"
4,"Default",0,"AgVeExtPrp.cpp",218,02/08/2023 10:19:17,"ZHR-LAPTOP","haozh","Vehicle satEph240114_rnd_2: Cannot open external ephemeris file D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_294134.2_I_28.8_W_4.48_w_154.5_dv_241.06_.e"
4,"Default",0,"AgVeExtPrp.cpp",218,02/08/2023 10:19:17,"ZHR-LAPTOP","haozh","Vehicle satEph240114_rnd_3: Cannot open external ephemeris file D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_304134.2_I_28.2_W_2.68_w_142.5_dv_240.03_.e"
4,"Default",0,"AgVeExtPrp.cpp",218,02/08/2023 10:19:17,"ZHR-LAPTOP","haozh","Vehicle satEph240114_rnd_4: Cannot open external ephemeris file D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_304134.2_I_28.8_W_4.48_w_154.5_dv_239.68_.e"
4,"Default",0,"AgVeExtPrp.cpp",218,02/08/2023 10:19:17,"ZHR-LAPTOP","haozh","Vehicle satEph240114_rnd_5: Cannot open external ephemeris file D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\onlyHeo\dro_RECON_2024_01_16_18_46_33_UTCG_Hp_461.4_Ha_294962.4_I_28.48_W_3.82_w_143.5_dv_174.36_.e"
4,"MsgWnd",0,"",0,02/08/2023 17:32:49,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\dro_2024_01_14_18_54_26_UTCG_w_148.5_nominal__Ephemeris.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 17:32:49,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_294134.2_I_28.8_W_4.48_w_154.5_dv_241.06_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_2 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 17:32:49,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_304134.2_I_28.2_W_2.68_w_142.5_dv_240.03_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_3 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 17:32:49,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_304134.2_I_28.8_W_4.48_w_154.5_dv_239.68_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_4 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 17:32:49,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\onlyHeo\dro_RECON_2024_01_16_18_46_33_UTCG_Hp_461.4_Ha_294962.4_I_28.48_W_3.82_w_143.5_dv_174.36_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_5 may not be valid."
4,"MsgWnd",0,"",81,02/08/2023 17:36:46,"ZHR-LAPTOP","haozh","Error Error: 00011000 AgRptLoad.cpp: 81"
4,"MsgWnd",0,"",81,02/08/2023 17:44:35,"ZHR-LAPTOP","haozh","Error Error: 00011000 AgRptLoad.cpp: 81"
4,"MsgWnd",0,"",0,02/08/2023 20:30:24,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\dro_2024_01_14_18_54_26_UTCG_w_148.5_nominal__Ephemeris.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 20:30:24,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_294134.2_I_28.8_W_4.48_w_154.5_dv_241.06_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_2 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 20:30:24,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_304134.2_I_28.2_W_2.68_w_142.5_dv_240.03_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_3 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 20:30:24,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\bdry\dro_RECON_2024_01_14_18_54_26_UTCG_Hp_400_Ha_304134.2_I_28.8_W_4.48_w_154.5_dv_239.68_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_4 may not be valid."
4,"MsgWnd",0,"",0,02/08/2023 20:30:24,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: D:\OneDrive\Files\matlab\csu\droProject\orbitData\2401\2401_w148p5_lonP1_TLI_ok\onlyHeo\dro_RECON_2024_01_16_18_46_33_UTCG_Hp_461.4_Ha_294962.4_I_28.48_W_3.82_w_143.5_dv_174.36_.e The object: /Application/STK/Scenario/Scenario1/Satellite/satEph240114_rnd_5 may not be valid."
