"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"MsgWnd",0,"",0,07/03/2024 14:40:59,"ZHR-LAPTOP","haozh","No valid 64 bit Matlab automation server is available.  Please run matlab /regserver as administrator or see Mathworks online help."
2,"Default",0,"AgApRmtMsg.cpp",1336,07/03/2024 14:40:59,"ZHR-LAPTOP","haozh","STK/CON: Initializing STK/CON module."
2,"Default",0,"AgApRmtMsg.cpp",1516,07/03/2024 14:40:59,"ZHR-LAPTOP","haozh","STK/CON: Accepting connection requests"
1,"Default",0,"IAgUiPluginSiteImpl.hpp",50,07/03/2024 14:41:04,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Loading EXata UI xml files from ""C:\Program Files\AGI\STK 12\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"IAgUiPluginSiteImpl.hpp",50,07/03/2024 14:41:05,"ZHR-LAPTOP","haozh","Scalable Networks Modeling Interface:  Unable to find a valid Scalable Networks simulator installation."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",975,07/03/2024 14:41:30,"ZHR-LAPTOP","haozh","TIREM is licensed, but a valid install was not found. Install TIREM."
3,"Default",0,"AgSTKCommRdrComponentMgrScExt.cpp",894,07/03/2024 14:41:30,"ZHR-LAPTOP","haozh","STK Urban Propagation Extension for STK Communications is licensed, but a valid install was not found.  Install Urban Propagation Extension."
3,"MsgWnd",0,"AgScen.cpp",916,07/03/2024 14:41:42,"ZHR-LAPTOP","haozh","Scenario Load: This Scenario was written by an older version of STK."
3,"MsgWnd",0,"AgScen.cpp",918,07/03/2024 14:41:42,"ZHR-LAPTOP","haozh","Scenario Load: If saved, the Scenario may be unreadable by older versions of STK."
3,"Default",0,"AgPropagatorComponentManager.cpp",1933,07/03/2024 14:41:43,"ZHR-LAPTOP","haozh","Engine Model Plugin registration error: CSharp Engine Example"
3,"Default",0,"AgPropagatorComponentManager.cpp",1936,07/03/2024 14:41:43,"ZHR-LAPTOP","haozh","AGI.Astrogator.Plugin.Examples.EngineModeling.CSharp.Example1 is not registered as a COM component."
2,"Default",0,"AgGx3dDbFile.cpp",598,07/03/2024 14:41:59,"ZHR-LAPTOP","haozh","Unable to find file 'mdl\DROAB.mdl'"
4,"Default",0,"AgVeExtPrp.cpp",218,07/03/2024 14:41:59,"ZHR-LAPTOP","haozh","Vehicle DROAB: Cannot read external ephemeris file D:\360_Clouds\DROXD\in_Orbit_Scn\oem\DROAB_All_0619.oem"
4,"Default",0,"AgVeExtPrp.cpp",218,07/03/2024 14:42:01,"ZHR-LAPTOP","haozh","Vehicle DROAB_Orginal: Cannot open external ephemeris file C:\Users\123\Desktop\20231211_2403_标称轨道_\Day_13_J2000_dro_RECON_Dv_138.93_Err_0_0_0_0_0_.e"
2,"Default",0,"AgGxMdl.cpp",9779,07/03/2024 18:48:04,"ZHR-LAPTOP","haozh","D:\360Cloud\DROXD\in_Orbit_Scn\droA_CAM\mdl\DROAB_0629.mdl: 515 - Unrecognized keyword ""0.03"". "
2,"Default",0,"AgGxMdl.cpp",9779,07/03/2024 18:48:04,"ZHR-LAPTOP","haozh","D:\360Cloud\DROXD\in_Orbit_Scn\droA_CAM\mdl\DROAB_0629.mdl: 515 - Unrecognized keyword ""0"". "
2,"Default",0,"AgGxMdl.cpp",9779,07/03/2024 18:48:04,"ZHR-LAPTOP","haozh","D:\360Cloud\DROXD\in_Orbit_Scn\droA_CAM\mdl\DROAB_0629.mdl: 515 - Unrecognized keyword ""0"". "
4,"MsgWnd",0,"",0,07/03/2024 18:49:32,"ZHR-LAPTOP","haozh"," Warning! There appears to be a problem with the external ephemeris file: C:\Users\123\Desktop\20231211_2403_标称轨道_\Day_13_J2000_dro_RECON_Dv_138.93_Err_0_0_0_0_0_.e The object: /Application/STK/Scenario/Scenario1/Satellite/DROAB_Orginal may not be valid."
